addedDate,title,titleEn,romaji,artists,genre,versions,matchedTerms,isDeleted
2016-08-03,トライ・エヴリシング,,,Dream Ami / Mikkel S. Eriksen,anime,"NAC, NS2, NS1, PS4",dream,yes
2017-04-26,エンジェル ドリーム(デレマス),,,岡部啓一 / 緒方智絵里、城ヶ崎莉嘉、多田李衣菜,"game, anime",NAC,"angel, dream",no
2019-04-25,あなたとトゥラッタッタ♪,,Anata to Tu-lat-lat-ta♪,吉田美和・中村正人 / DREAMS COME TRUE,pops,"NAC, NS1, PS4, PLUS, RC",dream,no
2021-12-15,Fun!Fun!Fun! ～夢∞～,,Fun!Fun!Fun! ~Yume Mugendai~,浦島健太・野口大志 / Lucky²,kids,NAC,dream,yes
2023-05-20,Re：End of a Dream,,,uma vs. モリモリあつし,variety,NAC,dream,no
2024-04-25,エンジェル ドリーム(にじさんじ),,,岡部啓一 / フレン・E・ルスタリオ,namco,"NAC, NS2","angel, dream",no
2025-06-04,LIMIT BREAK DREAMERS,,,Special for Princess! / エス / カンナ / ユメ / ライカ / 白戸佑輔,game,NAC,dream,no
2025-07-30,愛♡スクリ～ム！,,,AiScReam / 黒澤ルビィ / 上原歩夢 / 若菜四季 / DJ Chika a.k.a. INHERIT / Hayato Yamamoto,"pops, anime","NAC, NS2",dream,no
,Angelic Angel,,,森慎太郎 / μ's,anime,NAC,angel,no
,DREAMERS' PARADISE,,,T.Kura、michico / DANCE EARTH PARTY,pops,NAC,dream,no
,Fallen Angel,,,濱本理央 / ZOLA Project,vocaloid,NAC,angel,no
,ようかい体操第一,,Yokai Taisou Dai Ichi,菊谷知樹 / Dream5,"kids, anime",NAC,dream,no
,エンジェル ドリーム,,Angel Dream,岡部啓一,namco,NAC,"angel, dream",no
,ダン・ダン ドゥビ・ズバー！,,Dan Dan Doobie Zubah!,菊谷知樹 / Dream5+ブリー隊長,"kids, anime",NAC,dream,no
,ドローイン☆ドリーム！,,Drawin'☆Dream!,Versus / 白黒黒白,namco,NAC,dream,no
,夢うつつカタルシス,,Yumeutstsu Catharsis,大木奏弥 / 愛原圭織,namco,NAC,dream,no
,夢と希望,,Hopes and Dreams,Toby Fox,game,"NAC, NS2, NS1",dream,no
,夢と現実の境界線,,Yume to Genjitsu no Kyoukaisen,OMOCHI,namco,NAC,dream,no
,星のカービィメドレー,Kirby Medley,Kirby's Dream Land Medley,石川淳 / 安藤浩和,"game, kids","NAC, NS2, NS1",dream,no
,猫サンキュー,,Neko Thank You,夕闇に誘いし漆黒の天使達,pops,NAC,angel,no
,白日夢、霧雨に溶けて,,"Hakujitsumu, Kirisame ni Tokete",後藤 / ぜりょわん,namco,NAC,dream,no
,華蕾夢ミル狂詩曲～魂ノ導～,,Tsubomi Yumemiru Rapsodia ~Alma no Michibiki~,浩川卿中二・淵ヶ谷増二 / 神崎蘭子,"game, anime",NAC,dream,no
